,Open,Close,"SI(C2>B2,1,0)"
2114,1530.93994,1511.94995,0
2115,1511.94995,1502.42004,0
2116,1502.42004,1515.59998,1
2117,1515.59998,1487.84998,0
2118,1487.84998,1496.93994,1
2119,1496.93994,1515.98999,1
2120,1515.98999,1514.68005,0
2121,1514.68005,1518.19995,1
2122,1518.19995,1525.19995,1
2123,1525.19995,1539.79004,1
2124,1539.79004,1541.45996,1
2125,1541.45996,1544.26001,1
2126,1544.26001,1551.18005,1
2127,1551.15002,1556.21997,1
2128,1556.21997,1552.47998,0
2129,1552.47998,1554.52002,1
2130,1554.52002,1563.22998,1
2131,1563.20996,1560.69995,0
2132,1560.69995,1552.09998,0
2133,1552.09998,1548.33997,0
2134,1548.33997,1558.70996,1
2135,1558.70996,1545.80005,0
2136,1545.90002,1556.89002,1
2137,1556.89002,1551.68994,0
2138,1551.68994,1563.77002,1
2139,1563.75,1562.84998,0
2140,1562.85999,1569.18994,1
2141,1569.18005,1562.17004,0
2142,1562.17004,1570.25,1
2143,1570.25,1553.68994,0
2144,1553.68994,1559.97998,1
2145,1559.97998,1553.28003,0
2146,1553.26001,1563.06995,1
2147,1563.10999,1568.60999,1
2148,1568.60999,1587.72998,1
2149,1587.72998,1593.37,1
2150,1593.30005,1588.84998,0
2151,1588.83997,1552.35999,0
2152,1552.35999,1574.56995,1
2153,1574.56995,1552.01001,0
2154,1552.03003,1541.60999,0
2155,1541.60999,1555.25,1
2156,1555.25,1562.5,1
2157,1562.5,1578.78003,1
2158,1578.78003,1578.79004,1
2159,1578.93005,1585.16003,1
2160,1585.16003,1582.23999,0
2161,1582.33997,1593.60999,1
2162,1593.57996,1597.56995,1
2163,1597.55005,1582.69995,0
2164,1582.77002,1597.58997,1
2165,1597.59998,1614.42004,1
2166,1614.40002,1617.5,1
2167,1617.55005,1625.95996,1
2168,1625.94995,1632.68994,1
2169,1632.68994,1626.67004,0
2170,1626.68994,1633.69995,1
2171,1632.09998,1633.77002,1
2172,1633.75,1650.33997,1
2173,1649.13001,1658.78003,1
2174,1658.06995,1650.46997,0
2175,1652.44995,1667.46997,1
