Date,Open,High,Low,Close,Adj Close,Volume
12/12/2014,2030.35999,2032.25000,2002.32996,2002.32996,2002.32996,4157650000
15/12/2014,2005.03003,2018.68994,1982.26001,1989.63001,1989.63001,4361990000
16/12/2014,1986.70996,2016.89002,1972.56006,1972.73999,1972.73999,4958680000
17/12/2014,1973.77002,2016.75000,1973.77002,2012.89002,2012.89002,4942370000
18/12/2014,2018.97998,2061.22998,2018.97998,2061.22998,2061.22998,4703380000
19/12/2014,2061.04004,2077.85010,2061.03003,2070.64990,2070.64990,6465530000
22/12/2014,2069.28003,2078.76001,2069.28003,2078.54004,2078.54004,3369520000
23/12/2014,2081.47998,2086.72998,2079.77002,2082.16992,2082.16992,3043950000
24/12/2014,2083.25000,2087.56006,2081.86011,2081.87988,2081.87988,1416980000
26/12/2014,2084.30005,2092.69995,2084.30005,2088.77002,2088.77002,1735230000
29/12/2014,2087.62988,2093.55005,2085.75000,2090.57007,2090.57007,2452360000
30/12/2014,2088.48999,2088.48999,2079.53003,2080.35010,2080.35010,2440280000
31/12/2014,2082.11011,2085.58008,2057.93994,2058.89990,2058.89990,2606070000
02/01/2015,2058.89990,2072.36011,2046.04004,2058.19995,2058.19995,2708700000
05/01/2015,2054.43994,2054.43994,2017.33997,2020.57996,2020.57996,3799120000
06/01/2015,2022.15002,2030.25000,1992.43994,2002.60999,2002.60999,4460110000
07/01/2015,2005.55005,2029.60999,2005.55005,2025.90002,2025.90002,3805480000
08/01/2015,2030.60999,2064.08008,2030.60999,2062.13989,2062.13989,3934010000
09/01/2015,2063.44995,2064.42993,2038.32996,2044.81006,2044.81006,3364140000
12/01/2015,2046.13001,2049.30005,2022.57996,2028.26001,2028.26001,3456460000
13/01/2015,2031.57996,2056.92993,2008.25000,2023.03003,2023.03003,4107300000
14/01/2015,2018.40002,2018.40002,1988.43994,2011.27002,2011.27002,4378680000
15/01/2015,2013.75000,2021.34998,1991.46997,1992.67004,1992.67004,4276720000
16/01/2015,1992.25000,2020.45996,1988.12000,2019.42004,2019.42004,4056410000
20/01/2015,2020.76001,2028.93994,2004.48999,2022.55005,2022.55005,3944340000
21/01/2015,2020.18994,2038.29004,2012.04004,2032.12000,2032.12000,3730070000
22/01/2015,2034.30005,2064.62012,2026.38001,2063.14990,2063.14990,4176050000
23/01/2015,2062.97998,2062.97998,2050.54004,2051.82007,2051.82007,3573560000
26/01/2015,2050.41992,2057.62012,2040.96997,2057.09009,2057.09009,3465760000
27/01/2015,2047.85999,2047.85999,2019.91003,2029.55005,2029.55005,3329810000
28/01/2015,2032.33997,2042.48999,2001.48999,2002.16003,2002.16003,4067530000
29/01/2015,2002.44995,2024.64002,1989.18005,2021.25000,2021.25000,4127140000
30/01/2015,2019.34998,2023.31995,1993.38001,1994.98999,1994.98999,4568650000
02/02/2015,1996.67004,2021.66003,1980.90002,2020.84998,2020.84998,4008330000
03/02/2015,2022.70996,2050.30005,2022.70996,2050.03003,2050.03003,4615900000
04/02/2015,2048.86011,2054.73999,2036.71997,2041.51001,2041.51001,4141920000
05/02/2015,2043.44995,2063.55005,2043.44995,2062.52002,2062.52002,3821990000
06/02/2015,2062.28003,2072.39990,2049.96997,2055.46997,2055.46997,4232970000
09/02/2015,2053.46997,2056.15991,2041.88001,2046.73999,2046.73999,3549540000
10/02/2015,2049.37988,2070.86011,2048.62012,2068.59009,2068.59009,3669850000
11/02/2015,2068.55005,2073.47998,2057.98999,2068.53003,2068.53003,3596860000
12/02/2015,2069.97998,2088.53003,2069.97998,2088.47998,2088.47998,3788350000
13/02/2015,2088.78003,2097.03003,2086.69995,2096.98999,2096.98999,3527450000
17/02/2015,2096.46997,2101.30005,2089.80005,2100.34009,2100.34009,3361750000
18/02/2015,2099.15991,2100.22998,2092.14990,2099.67993,2099.67993,3370020000
19/02/2015,2099.25000,2102.12988,2090.79004,2097.44995,2097.44995,3247100000
20/02/2015,2097.64990,2110.61011,2085.43994,2110.30005,2110.30005,3281600000
23/02/2015,2109.83008,2110.05005,2103.00000,2109.65991,2109.65991,3093680000
24/02/2015,2109.10010,2117.93994,2105.87012,2115.47998,2115.47998,3199840000
25/02/2015,2115.30005,2119.59009,2109.88989,2113.86011,2113.86011,3312340000
26/02/2015,2113.90991,2113.90991,2103.76001,2110.73999,2110.73999,3408690000
27/02/2015,2110.87988,2112.73999,2103.75000,2104.50000,2104.50000,3547380000
02/03/2015,2105.22998,2117.52002,2104.50000,2117.38989,2117.38989,3409490000
03/03/2015,2115.76001,2115.76001,2098.26001,2107.78003,2107.78003,3262300000
04/03/2015,2107.71997,2107.71997,2094.48999,2098.53003,2098.53003,3421110000
05/03/2015,2098.54004,2104.25000,2095.21997,2101.04004,2101.04004,3103030000
06/03/2015,2100.90991,2100.90991,2067.27002,2071.26001,2071.26001,3853570000
09/03/2015,2072.25000,2083.48999,2072.20996,2079.42993,2079.42993,3349090000
10/03/2015,2076.13989,2076.13989,2044.16003,2044.16003,2044.16003,3668900000
11/03/2015,2044.68994,2050.08008,2039.68994,2040.23999,2040.23999,3406570000
12/03/2015,2041.09998,2066.40991,2041.09998,2065.94995,2065.94995,3405860000
13/03/2015,2064.56006,2064.56006,2041.17004,2053.39990,2053.39990,3498560000
16/03/2015,2055.35010,2081.40991,2055.35010,2081.18994,2081.18994,3295600000
17/03/2015,2080.59009,2080.59009,2065.08008,2074.28003,2074.28003,3221840000
