,Open,Open t-1,Close t-1,Vol t-1,Vol historico (Prom),Si close es mayor a open =1
385,30.09,30.3,30.09,513900,216472,1
386,30.61,30.92,30.61,307900,216489,0
387,29.05,29.78,28.74,376300,216815,0
388,26.77,27.18,27.08,127400,216969,1
389,27.18,26.98,27.08,207400,217307,1
390,32.37,32.68,32.58,503700,218604,0
391,32.37,32.37,32.47,507400,218937,0
392,33.3,34.03,33.41,938700,219597,0
393,34.24,34.24,34.34,450300,219889,1
394,35.07,35.07,35.07,478900,219976,0
395,33.62,34.86,33.51,392500,220094,1
396,33.82,34.24,33.82,117300,220387,1
397,32.79,32.68,32.79,529000,220748,1
398,34.86,34.45,34.86,233200,220872,0
399,32.99,32.99,32.79,214900,220905,0
400,33.1,32.89,33.1,397500,221163,0
401,32.27,33.3,32.27,290800,221718,1
402,31.96,32.16,31.85,359000,221828,0
403,32.06,32.06,32.06,247900,221888,0
404,31.85,32.37,31.96,272500,222020,0
405,32.37,31.33,32.47,138700,221984,0
406,32.68,32.99,32.47,101800,221995,1
407,36.31,36.31,36.52,203200,222071,0
408,33.82,33.93,33.82,169000,221815,0
409,34.24,33.82,34.13,528200,222171,1
410,35.69,36.83,35.69,395100,222343,0
411,35.69,36.62,36.11,221100,222726,1
412,36.11,35.9,36.21,243300,222744,0
413,35.48,35.69,35.38,265000,223351,0
414,35.69,35.79,35.69,176000,223407,0
415,35.07,35.28,35.28,133400,223403,0
416,38.49,37.56,38.18,512000,223487,1
417,39.63,39.84,39.84,99000,223671,0
418,42.33,40.98,41.71,227200,224316,1
419,48.66,47.72,48.66,599100,224879,0
420,56.65,55.09,55.71,1621000,225872,1
421,56.8,57.58,56.65,424800,228996,1
422,56.96,56.8,56.96,377000,229013,0
423,56.49,55.71,57.27,195600,229232,0
424,56.96,57.27,57.27,203600,229748,1
425,54.78,57.43,54.78,328200,230162,1
426,54.78,55.4,54.94,318300,230203,0
427,57.27,56.8,57.27,274900,230303,0
428,64.12,65.52,64.12,858100,231887,1
429,68.79,68.79,69.56,236100,233133,1
430,70.14,72.21,70.55,456800,233540,1
431,79.06,79.26,78.64,1471800,234701,1
432,74.91,75.11,74.08,332700,236233,0
433,70.96,67.85,69.93,576600,237193,0
434,65.99,67.23,65.99,565000,237554,1
435,69.93,69.72,69.72,273900,237940,0
436,68.47,69.93,68.27,155100,237952,0
437,66.82,67.02,66.82,450700,239060,0
438,65.78,65.57,65.78,360200,239719,0
