,Open,Close,"SI(C2>B2,1,0)"
858,83.56,83.06,0
859,83.06,81.6,0
860,81.6,82.41,1
861,82.97,84.12,1
862,84.12,84.48,1
863,84.48,85.16,1
864,85.16,84.99,0
865,84.99,84.67,0
866,84.67,85.39,1
867,85.39,85.71,1
868,85.71,85.69,0
869,85.69,85.59,0
870,85.59,85.87,1
871,85.87,85.72,0
872,85.72,85.69,0
873,85.69,85.63,0
874,85.63,84.55,0
875,84.55,84.07,0
876,84.07,83.85,0
877,83.85,84.07,1
878,84.07,84.05,0
879,84.05,83.87,0
880,83.87,84.03,1
881,84.03,84.68,1
882,84.68,85.25,1
883,85.25,85.42,1
884,85.42,85.46,1
885,85.46,85.79,1
886,85.79,86.07,1
887,86.07,85.86,0
888,85.86,85.87,1
889,85.87,86.13,1
890,86.13,86.38,1
891,86.38,86.77,1
892,86.77,86.87,1
893,86.87,87.04,1
894,87.04,86.99,0
895,86.99,86.79,0
896,86.79,86.69,0
897,86.69,86.56,0
898,86.56,86.71,1
899,86.71,86.81,1
900,86.81,87.14,1
901,87.14,87.2,1
902,87.2,87.21,1
903,87.21,87.17,0
904,87.17,87.65,1
905,87.65,88.06,1
906,88.06,88.36,1
907,88.36,88.66,1
908,88.66,88.89,1
909,88.89,89.12,1
910,89.12,89.38,1
911,89.38,89.03,0
912,89.03,89.52,1
913,90.02,90.05,1
914,90.05,90.08,1
915,90.08,89.81,0
916,89.81,90.22,1
917,90.22,89.86,0
918,89.86,90.02,1
919,90.65,90.43,0
920,90.43,90.02,0
921,90.02,89.96,0
922,89.96,89.9,0
923,89.9,90.08,1
924,90.08,90.63,1
925,90.63,90.54,0
926,90.54,90.47,0
927,90.47,90.85,1
928,90.85,91.37,1
929,91.37,91.35,0
930,91.35,91.34,0
931,91.34,91.19,0
932,91.19,91.38,1
933,91.38,91.68,1
934,91.68,91.8,1
935,91.8,91.78,0
936,91.78,91.94,1
937,91.94,91.98,1
938,91.98,91.67,0
939,91.67,92.2,1
940,92.2,92.51,1
941,92.51,92.21,0
942,92.21,92.42,1
943,92.42,92.23,0
944,92.23,92.31,1
945,92.31,92.46,1
946,92.46,92.37,0
947,92.37,92.23,0
948,92.23,91.93,0
949,91.93,91.83,0
950,91.83,92.11,1
951,92.11,92.55,1
952,92.55,92.63,1
953,92.63,92.41,0
954,92.41,92.6,1
955,92.6,92.22,0
956,92.22,92.24,1
957,92.24,91.64,0
958,91.64,91.78,1
959,91.78,91.94,1
960,91.94,92.03,1
961,92.03,91.8,0
962,91.8,91.61,0
963,91.61,91.5,0
964,91.5,91.21,0
965,91.21,91.27,1
966,91.2,90.59,0
967,90.59,91.39,1
968,91.39,91.28,0
969,91.28,91.56,1
970,91.56,91.8,1
971,91.8,91.83,1
972,91.83,91.88,1
973,91.88,92.02,1
974,92.02,92.12,1
975,92.12,92.08,0
976,92.08,91.65,0
977,91.65,92.01,1
978,92.01,92.29,1
979,92.29,92.19,0
980,92.19,91.52,0
981,91.52,91.53,1
982,91.53,91.81,1
983,91.81,92.2,1
984,92.2,92.43,1
985,92.43,92.18,0
986,92.18,92.26,1
987,92.26,92.85,1
988,92.85,93.06,1
989,93.06,93.14,1
990,93.14,93.33,1
991,93.33,93.41,1
992,93.41,93.19,0
993,93.19,93.36,1
994,93.36,93.5,1
995,93.5,93.77,1
996,93.77,93.95,1
997,93.95,93.69,0
998,93.69,93.36,0
999,93.36,93.47,1
1000,93.47,93.71,1
1001,93.71,93.85,1
1002,93.85,93.7,0
1003,93.7,93.67,0
1004,93.67,93.31,0
1005,93.31,92.88,0
1006,92.88,92.16,0
1007,92.16,92.53,1
1008,92.53,92.65,1
1009,92.65,93.26,1
1010,93.26,93.59,1
1011,93.59,93.55,0
1012,93.55,94.06,1
1013,94.06,93.83,0
1014,93.83,93.81,0
1015,93.81,93.53,0
1016,93.53,93.17,0
1017,93.17,93.16,0
1018,93.16,92.66,0
1019,92.66,92.41,0
1020,92.41,91.87,0
1021,91.87,91.48,0
1022,91.48,90.89,0
1023,90.89,91.14,1
1024,91.14,91.22,1
1025,91.22,90.06,0
1026,90.06,89.15,0
1027,89.15,89.47,1
1028,89.47,89.24,0
1029,89.24,88.04,0
1030,88.04,88.18,1
1031,88.18,88.96,1
1032,88.96,88.85,0
1033,88.85,87.85,0
1034,87.85,87.35,0
1035,87.35,87.86,1
1036,87.86,88.17,1
1037,88.17,88.53,1
1038,88.53,89.2,1
1039,89.2,89.46,1
1040,89.46,89.13,0
1041,89.13,89.29,1
1042,89.29,89.54,1
1043,89.54,89.62,1
1044,89.62,89.27,0
1045,89.27,88.78,0
1046,88.78,89.23,1
1047,89.23,89.94,1
1048,89.94,90.76,1
1049,90.76,91.31,1
1050,91.31,91.56,1
1051,91.56,91.76,1
1052,91.76,91.79,1
1053,91.79,91.45,0
1054,91.45,91.54,1
1055,91.54,91.87,1
1056,91.87,91.99,1
1057,91.99,91.58,0
1058,91.58,91.57,0
1059,91.57,92.08,1
1060,92.08,92.42,1
1061,92.42,92.27,0
1062,92.27,92.08,0
1063,92.08,91.99,0
1064,91.99,91.76,0
1065,91.76,91.13,0
1066,91.13,91.06,0
1067,91.06,90.9,0
1068,90.9,89.85,0
1069,89.85,89.39,0
1070,89.39,87.93,0
1071,87.93,87.84,0
1072,87.84,86.32,0
1073,86.32,87.08,1
1074,87.08,87.23,1
1075,87.23,86.23,0
1076,86.23,85.47,0
1077,85.47,84.41,0
1078,84.41,83.63,0
1079,83.72,85.12,1
1080,85.12,85.02,0
1081,85.02,85.43,1
1082,85.43,86.2,1
1083,86.2,86.77,1
1084,86.77,87.07,1
1085,87.07,87.33,1
1086,87.33,86.13,0
1087,86.13,86.1,0
1088,86.1,85.96,0
1089,85.96,86.06,1
1090,86.06,85.42,0
1091,85.42,84.83,0
1092,84.83,84.93,1
1093,84.93,85.5,1
1094,85.5,86.44,1
1095,86.44,86.83,1
1096,86.83,87.07,1
1097,87.07,86.73,0
1098,86.73,86.47,0
1099,86.47,86.51,1
1100,86.51,86.48,0
1101,86.48,86.71,1
1102,86.71,86.85,1
1103,86.85,86.5,0
1104,86.5,86.58,1
1105,86.58,86.08,0
1106,86.08,85.67,0
1107,85.67,84.86,0
1108,84.86,84.74,0
1109,84.74,85.61,1
1110,85.61,85.82,1
1111,85.82,87.06,1
1112,87.06,87.38,1
1113,87.38,87.61,1
1114,87.61,87.45,0
1115,87.45,86.88,0
1116,86.88,86.3,0
1117,86.3,86.82,1
1118,86.82,87.08,1
1119,87.08,86.99,0
1120,86.99,86.33,0
1121,86.33,85.51,0
1122,85.51,85.52,1
1123,85.52,85.41,0
1124,85.41,83.83,0
1125,83.83,83.7,0
1126,83.7,84.1,1
1127,84.1,83.77,0
1128,83.77,83.6,0
1129,83.5,82.31,0
1130,82.31,82.33,1
1131,82.33,83.15,1
1132,83.15,83.93,1
1133,83.93,84,1
1134,84,83.75,0
1135,83.75,83.49,0
1136,83.49,83.11,0
1137,83.11,83.02,0
1138,83.02,83.17,1
1139,83.17,82.74,0
1140,82.71,81.63,0
1141,81.63,81.18,0
1142,81.18,80.16,0
1143,80.16,79.62,0
1144,79.62,78.24,0
1145,78.24,78.11,0
1146,78.11,79.07,1
1147,79.07,78.06,0
