,Precio,VN,PXQ,Hora,Min,Segundo,Mayor,Menor,Igual,Variac c resp a precio operado anterior
405,11.7,"5,000.00","58,500.00",11,18,34,0,0,1,0
406,11.7,"2,000.00","23,400.00",11,18,34,0,0,1,0
407,11.65,"1,000.00","11,650.00",11,20,51,0,1,0,-1
408,11.7,"1,150.00","13,455.00",11,22,44,1,0,0,1
409,11.7,"3,850.00","45,045.00",11,24,43,0,0,1,0
410,11.75,"5,000.00","58,750.00",11,24,48,1,0,0,1
411,11.75,"3,000.00","35,250.00",11,24,48,0,0,1,0
412,11.75,"2,200.00","25,850.00",11,24,48,0,0,1,0
413,11.75,"1,500.00","17,625.00",11,24,48,0,0,1,0
414,11.7,"2,000.00","23,400.00",11,25,41,0,1,0,-1
415,11.7,"2,788.00","32,619.60",11,25,43,0,0,1,0
416,11.75,"1,000.00","11,750.00",11,26,14,1,0,0,1
417,11.75,"4,000.00","47,000.00",11,26,17,0,0,1,0
418,11.8,"5,000.00","59,000.00",11,26,24,1,0,0,1
419,11.8,"10,000.00","118,000.00",11,26,24,0,0,1,0
420,11.85,"1,000.00","11,850.00",11,30,15,1,0,0,1
421,11.85,703,"8,330.55",11,31,8,0,0,1,0
422,11.85,"1,297.00","15,369.45",11,31,8,0,0,1,0
423,11.85,"1,000.00","11,850.00",11,31,8,0,0,1,0
424,11.85,"4,297.00","50,919.45",11,31,12,0,0,1,0
425,11.85,"5,000.00","59,250.00",11,31,27,0,0,1,0
426,11.85,854,"10,119.90",11,31,30,0,0,1,0
427,11.9,"22,214.00","264,346.60",11,31,36,1,0,0,1
428,11.9,"1,900.00","22,610.00",11,31,36,0,0,1,0
429,11.9,"1,500.00","17,850.00",11,31,36,0,0,1,0
430,12,"1,700.00","20,400.00",11,31,41,1,0,0,1
431,12,650,"7,800.00",11,31,41,0,0,1,0
432,12.15,"1,000.00","12,150.00",11,31,45,1,0,0,1
433,12.4,26,322.4,11,31,48,1,0,0,1
434,12.2,"1,000.00","12,200.00",11,34,10,0,1,0,-1
435,12,"1,775.00","21,300.00",11,34,37,0,1,0,-1
436,11.85,347,"4,111.95",11,35,36,0,1,0,-1
437,12,"1,000.00","12,000.00",11,35,43,1,0,0,1
438,11.9,"2,700.00","32,130.00",11,36,36,0,1,0,-1
