, PRECIO , VN , PxQ 
730,3.05,1500.00,4575.00
731,3.05,10000.00,30500.00
732,3.05,3000.00,9150.00
733,3.06,70.00,214.20
734,3.06,930.00,2845.80
735,3.05,505.00,1540.25
736,3.05,1495.00,4559.75
737,3.05,135.00,411.75
738,3.05,1865.00,5688.25
739,3.05,1400.00,4270.00
740,3.05,9000.00,27450.00
741,3.06,1292.00,3953.52
742,3.06,908.00,2778.48
743,3.05,206.00,628.30
744,3.06,325.00,994.50
745,3.05,200.00,610.00
746,3.05,42.00,128.10
747,3.05,470.00,1433.50
748,3.03,634.00,1921.02
749,3.03,14.00,42.42
750,3.04,2171.00,6599.84
751,3.04,553.00,1681.12
752,3.04,38.00,115.52
753,3.05,1590.00,4849.50
754,3.05,410.00,1250.50
755,3.12,2000.00,6240.00
756,3.15,908.00,2860.20
757,3.18,2200.00,6996.00
758,3.20,6515.00,20848.00
759,3.18,5000.00,15900.00
760,3.20,2242.00,7174.40
761,3.18,625.00,1987.50
762,3.15,1410.00,4441.50
763,3.18,2000.00,6360.00
764,3.20,1243.00,3977.60
765,3.18,7783.00,24749.94
766,3.18,283.00,899.94
767,3.18,3102.00,9864.36
768,3.17,1000.00,3170.00
769,3.16,1362.00,4303.92
770,3.16,1616.00,5106.56
771,3.16,1384.00,4373.44
772,3.16,208.00,657.28
773,3.15,1106.00,3483.90
774,3.15,1410.00,4441.50
775,3.15,394.00,1241.10
776,3.15,2323.00,7317.45
777,3.15,497.00,1565.55
778,3.15,8460.00,26649.00
779,3.14,1500.00,4710.00
780,3.13,3.00,9.39
781,3.15,1540.00,4851.00
782,3.17,315.00,998.55
783,3.15,1816.00,5720.40
784,3.15,1000.00,3150.00
785,3.15,2500.00,7875.00
786,3.15,1144.00,3603.60
787,3.15,2724.00,8580.60
788,3.15,856.00,2696.40
789,3.15,420.00,1323.00
790,3.15,500.00,1575.00
791,3.13,215.00,672.95
792,3.13,1997.00,6250.61
793,3.13,1788.00,5596.44
794,3.13,2500.00,7825.00
795,3.13,2500.00,7825.00
796,3.15,896.00,2822.40
797,3.15,903.00,2844.45
798,3.12,4339.00,13537.68
799,3.12,3495.00,10904.40
800,3.10,166.00,514.60
801,3.10,2000.00,6200.00
802,3.10,1000.00,3100.00
803,3.12,1266.00,3949.92
804,3.12,1734.00,5410.08
805,3.14,2500.00,7850.00
806,3.14,5000.00,15700.00
807,3.12,4584.00,14302.08
808,3.12,1000.00,3120.00
809,3.12,700.00,2184.00
810,3.12,77.00,240.24
811,3.12,1923.00,5999.76
812,3.13,1565.00,4898.45
813,3.13,435.00,1361.55
814,3.14,2500.00,7850.00
815,3.14,636.00,1997.04
816,3.13,498.00,1558.74
817,3.13,816.00,2554.08
818,3.13,634.00,1984.42
819,3.13,634.00,1984.42
820,3.14,2044.00,6418.16
821,3.15,135.00,425.25
822,3.14,456.00,1431.84
823,3.14,542.00,1701.88
824,3.14,3000.00,9420.00
825,3.14,1329.00,4173.06
826,3.14,1728.00,5425.92
827,3.12,77.00,240.24
828,3.12,2000.00,6240.00
829,3.11,5000.00,15550.00
830,3.10,84.00,260.40
831,3.09,5000.00,15450.00
832,3.08,5000.00,15400.00
833,3.08,2000.00,6160.00
834,3.08,5000.00,15400.00
835,3.07,2000.00,6140.00
836,3.07,100.00,307.00
837,3.07,2894.00,8884.58
838,3.06,1049.00,3209.94
839,3.08,5000.00,15400.00
840,3.08,5000.00,15400.00
841,3.10,1000.00,3100.00
842,3.07,500.00,1535.00
843,3.06,951.00,2910.06
844,3.05,2000.00,6100.00
845,3.07,500.00,1535.00
846,3.05,1000.00,3050.00
847,3.05,4451.00,13575.55
848,3.05,549.00,1674.45
849,3.05,4918.00,14999.90
850,3.05,620.00,1891.00
851,3.05,2500.00,7625.00
852,3.05,10000.00,30500.00
853,3.05,10000.00,30500.00
854,3.05,5926.00,18074.30
855,3.05,3000.00,9150.00
856,3.05,10000.00,30500.00
857,3.06,908.00,2778.48
858,3.06,2315.00,7083.90
859,3.09,323.00,998.07
860,3.06,16300.00,49878.00
861,3.05,908.00,2769.40
862,3.05,862.00,2629.10
863,3.05,726.00,2214.30
864,3.05,634.00,1933.70
865,3.05,908.00,2769.40
866,3.05,4677.00,14264.85
867,3.09,3733.00,11534.97
868,3.10,2635.00,8168.50
869,3.10,2943.00,9123.30
870,3.10,7365.00,22831.50
871,3.10,1000.00,3100.00
872,3.10,10000.00,31000.00
873,3.10,12.00,37.20
874,3.05,2105.00,6420.25
875,3.05,1285.00,3919.25
876,3.05,544.00,1659.20
877,3.10,1570.00,4867.00
878,3.05,4850.00,14792.50
879,3.05,957.00,2918.85
880,3.05,5000.00,15250.00
881,3.06,1000.00,3060.00
882,3.06,1612.00,4932.72
883,3.05,5000.00,15250.00
884,3.00,4000.00,12000.00
885,3.00,9308.00,27924.00
886,3.00,10000.00,30000.00
887,3.00,5000.00,15000.00
888,3.00,2000.00,6000.00
889,3.00,806.00,2418.00
890,3.00,4871.00,14613.00
891,3.00,1500.00,4500.00
892,3.00,3332.00,9996.00
893,3.00,6668.00,20004.00
