,  PRECIO  ,  VN  ,  PxQ  , Mayor a 100K 
 280 , 2.90 ," 2,500.00 "," 7,250.00 ", -   
 281 , 2.90 ," 1,269.00 "," 3,680.10 ", -   
 282 , 2.90 , 731.00 ," 2,119.90 ", -   
 283 , 2.90 , 269.00 , 780.10 , -   
 284 , 2.90 ," 1,700.00 "," 4,930.00 ", -   
 285 , 2.90 ," 1,070.00 "," 3,103.00 ", -   
 286 , 2.90 , 123.00 , 356.70 , -   
 287 , 2.90 , 531.00 ," 1,539.90 ", -   
 288 , 2.90 ," 2,047.00 "," 5,936.30 ", -   
 289 , 2.90 ," 4,853.00 "," 14,073.70 ", -   
 290 , 2.90 , 147.00 , 426.30 , -   
 291 , 2.90 ," 3,353.00 "," 9,723.70 ", -   
 292 , 2.90 , 868.00 ," 2,517.20 ", -   
 293 , 2.92 ," 2,000.00 "," 5,840.00 ", -   
 294 , 2.90 ," 6,450.00 "," 18,705.00 ", -   
 295 , 2.90 ," 5,200.00 "," 15,080.00 ", -   
 296 , 2.90 ," 4,166.00 "," 12,081.40 ", -   
 297 , 2.90 , 700.00 ," 2,030.00 ", -   
 298 , 2.90 , 685.00 ," 1,986.50 ", -   
 299 , 2.88 ," 5,416.00 "," 15,598.08 ", -   
 300 , 2.88 ," 2,000.00 "," 5,760.00 ", -   
 301 , 2.89 ," 1,384.00 "," 3,999.76 ", -   
 302 , 2.88 ," 18,168.00 "," 52,323.84 ", 1.00 
 303 , 2.81 ," 1,500.00 "," 4,215.00 ", -   
 304 , 2.81 ," 10,500.00 "," 29,505.00 ", -   
 305 , 2.88 ," 8,228.00 "," 23,696.64 ", -   
 306 , 2.81 ," 4,500.00 "," 12,645.00 ", -   
 307 , 2.80 ," 5,000.00 "," 14,000.00 ", -   
 308 , 2.80 ," 1,378.00 "," 3,858.40 ", -   
 309 , 2.80 , 5.00 , 14.00 , -   
 310 , 2.79 ," 1,790.00 "," 4,994.10 ", -   
 311 , 2.79 ," 5,000.00 "," 13,950.00 ", -   
 312 , 2.75 ," 1,758.00 "," 4,834.50 ", -   
 313 , 2.75 ," 1,272.00 "," 3,498.00 ", -   
 314 , 2.75 ," 6,483.00 "," 17,828.25 ", -   
 315 , 2.75 ," 1,163.00 "," 3,198.25 ", -   
 316 , 2.75 ," 3,000.00 "," 8,250.00 ", -   
 317 , 2.70 , 504.00 ," 1,360.80 ", -   
 318 , 2.77 , 404.00 ," 1,119.08 ", -   
 319 , 2.78 , 496.00 ," 1,378.88 ", -   
 320 , 2.79 , 604.00 ," 1,685.16 ", -   
 321 , 2.79 ," 4,396.00 "," 12,264.84 ", -   
 322 , 2.80 ," 5,000.00 "," 14,000.00 ", -   
 323 , 2.80 ," 5,000.00 "," 14,000.00 ", -   
 324 , 2.80 ," 5,000.00 "," 14,000.00 ", -   
 325 , 2.80 ," 10,000.00 "," 28,000.00 ", -   
 326 , 2.80 ," 10,000.00 "," 28,000.00 ", -   
 327 , 2.80 ," 10,000.00 "," 28,000.00 ", -   
 328 , 2.80 ," 4,596.00 "," 12,868.80 ", -   
 329 , 2.80 , 404.00 ," 1,131.20 ", -   
 330 , 2.81 ," 10,000.00 "," 28,100.00 ", -   
 331 , 2.81 ," 10,000.00 "," 28,100.00 ", -   
 332 , 2.81 , 681.00 ," 1,913.61 ", -   
 333 , 2.80 ," 5,164.00 "," 14,459.20 ", -   
 334 , 2.80 ," 4,836.00 "," 13,540.80 ", -   
 335 , 2.80 ," 9,836.00 "," 27,540.80 ", -   
 336 , 2.80 ," 1,600.00 "," 4,480.00 ", -   
 337 , 2.80 ," 8,564.00 "," 23,979.20 ", -   
 338 , 2.80 ," 5,000.00 "," 14,000.00 ", -   
 339 , 2.80 ," 1,436.00 "," 4,020.80 ", -   
 340 , 2.84 ," 1,000.00 "," 2,840.00 ", -   
 341 , 2.80 , 681.00 ," 1,906.80 ", -   
 342 , 2.80 ," 3,669.00 "," 10,273.20 ", -   
 343 , 2.80 ," 5,604.00 "," 15,691.20 ", -   
 344 , 2.80 , 680.00 ," 1,904.00 ", -   
 345 , 2.75 ," 15,000.00 "," 41,250.00 ", -   
 346 , 2.75 ," 5,000.00 "," 13,750.00 ", -   
 347 , 2.75 ," 10,000.00 "," 27,500.00 ", -   
 348 , 2.75 ," 5,000.00 "," 13,750.00 ", -   
 349 , 2.72 ," 1,000.00 "," 2,720.00 ", -   
 350 , 2.75 ," 5,000.00 "," 13,750.00 ", -   
 351 , 2.75 , 98.00 , 269.50 , -   
 352 , 2.75 , 518.00 ," 1,424.50 ", -   
 353 , 2.80 ," 1,962.00 "," 5,493.60 ", -   
 354 , 2.80 , 47.00 , 131.60 , -   
 355 , 2.80 ," 2,991.00 "," 8,374.80 ", -   
 356 , 2.80 ," 1,900.00 "," 5,320.00 ", -   
 357 , 2.80 ," 1,271.00 "," 3,558.80 ", -   
 358 , 2.80 , 525.00 ," 1,470.00 ", -   
 359 , 2.80 ," 3,900.00 "," 10,920.00 ", -   
 360 , 2.80 ," 1,204.00 "," 3,371.20 ", -   
 361 , 2.80 , 896.00 ," 2,508.80 ", -   
 362 , 2.80 ," 2,000.00 "," 5,600.00 ", -   
 363 , 2.77 , 504.00 ," 1,396.08 ", -   
 364 , 2.80 ," 4,500.00 "," 12,600.00 ", -   
 365 , 2.80 ," 1,000.00 "," 2,800.00 ", -   
 366 , 2.78 ," 4,882.00 "," 13,571.96 ", -   
 367 , 2.78 ," 5,000.00 "," 13,900.00 ", -   
 368 , 2.75 ," 8,186.00 "," 22,511.50 ", -   
 369 , 2.77 ," 4,496.00 "," 12,453.92 ", -   
 370 , 2.76 , 104.00 , 287.04 , -   
 371 , 2.75 ," 1,500.00 "," 4,125.00 ", -   
 372 , 2.75 , 714.00 ," 1,963.50 ", -   
 373 , 2.78 ," 1,550.00 "," 4,309.00 ", -   
 374 , 2.78 ," 2,000.00 "," 5,560.00 ", -   
 375 , 2.78 ," 1,568.00 "," 4,359.04 ", -   
 376 , 2.78 , 904.00 ," 2,513.12 ", -   
 377 , 2.75 ," 5,000.00 "," 13,750.00 ", -   
 378 , 2.78 ," 2,528.00 "," 7,027.84 ", -   
 379 , 2.78 ," 1,000.00 "," 2,780.00 ", -   
 380 , 2.75 , 68.00 , 187.00 , -   
 381 , 2.75 ," 11,404.00 "," 31,361.00 ", -   
 382 , 2.80 , 500.00 ," 1,400.00 ", -   
 383 , 2.80 , 90.00 , 252.00 , -   
 384 , 2.80 ," 3,090.00 "," 8,652.00 ", -   
 385 , 2.80 , 910.00 ," 2,548.00 ", -   
 386 , 2.80 ," 1,073.00 "," 3,004.40 ", -   
 387 , 2.80 , 70.00 , 196.00 , -   
 388 , 2.79 ," 1,535.00 "," 4,282.65 ", -   
 389 , 2.80 ," 1,116.00 "," 3,124.80 ", -   
 390 , 2.80 , 743.00 ," 2,080.40 ", -   
 391 , 2.85 ," 5,000.00 "," 14,250.00 ", -   
 392 , 2.85 ," 19,000.00 "," 54,150.00 ", 1.00 
 393 , 2.84 ," 1,000.00 "," 2,840.00 ", -   
 394 , 2.85 ," 2,075.00 "," 5,913.75 ", -   
 395 , 2.84 ," 6,300.00 "," 17,892.00 ", -   
 396 , 2.80 , 908.00 ," 2,542.40 ", -   
 397 , 2.80 ," 2,233.00 "," 6,252.40 ", -   
 398 , 2.80 ," 1,057.00 "," 2,959.60 ", -   
 399 , 2.80 , 410.00 ," 1,148.00 ", -   
 400 , 2.95 ," 1,200.00 "," 3,540.00 ", -   
 401 , 2.95 ," 2,773.00 "," 8,180.35 ", -   
 402 , 2.95 ," 2,227.00 "," 6,569.65 ", -   
 403 , 3.00 ," 2,000.00 "," 6,000.00 ", -   
 404 , 3.00 , 500.00 ," 1,500.00 ", -   
 405 , 3.00 , 500.00 ," 1,500.00 ", -   
 406 , 3.00 ," 1,972.00 "," 5,916.00 ", -   
 407 , 3.00 , 28.00 , 84.00 , -   
 408 , 3.00 , 428.00 ," 1,284.00 ", -   
 409 , 3.00 , 426.00 ," 1,278.00 ", -   
 410 , 3.05 , 983.00 ," 2,998.15 ", -   
 411 , 3.05 ," 3,989.00 "," 12,166.45 ", -   
 412 , 3.05 ," 15,397.00 "," 46,960.85 ", -   
 413 , 3.05 ," 4,600.00 "," 14,030.00 ", -   
 414 , 3.05 , 3.00 , 9.15 , -   
 415 , 3.05 , 997.00 ," 3,040.85 ", -   
 416 , 3.05 ," 2,997.00 "," 9,140.85 ", -   
 417 , 3.05 , 3.00 , 9.15 , -   
 418 , 3.05 , 409.00 ," 1,247.45 ", -   
 419 , 3.05 , 28.00 , 85.40 , -   
 420 , 3.05 ," 4,563.00 "," 13,917.15 ", -   
 421 , 3.05 , 437.00 ," 1,332.85 ", -   
 422 , 3.05 ," 1,563.00 "," 4,767.15 ", -   
 423 , 3.05 ," 2,563.00 "," 7,817.15 ", -   
 424 , 3.05 , 437.00 ," 1,332.85 ", -   
 425 , 3.05 , 400.00 ," 1,220.00 ", -   
 426 , 3.05 ," 6,557.00 "," 19,998.85 ", -   
 427 , 3.00 , 318.00 , 954.00 , -   
 428 , 3.00 ," 1,682.00 "," 5,046.00 ", -   
 429 , 3.00 ," 1,816.00 "," 5,448.00 ", -   
 430 , 3.05 ," 4,000.00 "," 12,200.00 ", -   
 431 , 3.05 ," 2,000.00 "," 6,100.00 ", -   
 432 , 3.05 ," 2,000.00 "," 6,100.00 ", -   
 433 , 3.05 ," 2,000.00 "," 6,100.00 ", -   
 434 , 3.05 ," 2,000.00 "," 6,100.00 ", -   
 435 , 3.05 ," 2,000.00 "," 6,100.00 ", -   
 436 , 3.05 ," 4,500.00 "," 13,725.00 ", -   
 437 , 3.05 ," 1,980.00 "," 6,039.00 ", -   
 438 , 3.08 , 100.00 , 308.00 , -   
 439 , 3.10 ," 1,079.00 "," 3,344.90 ", -   
 440 , 3.10 ," 2,814.00 "," 8,723.40 ", -   
 441 , 3.10 ," 1,200.00 "," 3,720.00 ", -   
 442 , 3.10 , 921.00 ," 2,855.10 ", -   
 443 , 3.10 ," 1,035.00 "," 3,208.50 ", -   
 444 , 3.10 ," 5,000.00 "," 15,500.00 ", -   
 445 , 3.10 ," 3,225.00 "," 9,997.50 ", -   
 446 , 3.10 ," 9,354.00 "," 28,997.40 ", -   
 447 , 3.10 , 300.00 , 930.00 , -   
 448 , 3.09 ," 1,904.00 "," 5,883.36 ", -   
 449 , 3.09 , 45.00 , 139.05 , -   
 450 , 3.09 , 304.00 , 939.36 , -   
 451 , 3.09 , 272.00 , 840.48 , -   
